Sentiment,Headline
0,The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility contrary to earlier layoffs the company contracted the ranks of its office workers the daily Postimees reported
1,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability
1,According to the company is updated strategy for the years Basware targets a longterm net sales growth in the range of with an operating profit margin of of net sales
1,FINANCING OF ASPOCOMPS GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs
1,For the last quarter of Componenta is net sales doubled to EURm from EURm for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of EURm
1,In the third quarter of net sales increased by to EUR and operating profit by to EUR 
1,Operating profit rose to EUR from EUR in the corresponding period in NUMERIC representing of net sales
1,Operating profit totalled EUR up from EUR in representing of net sales
1,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom is offering to its customers
1,STORA ENSO NORSKE SKOG MREAL UPMKYMMENE Credit Suisse First Boston raised the fair value for shares in four of the largest Nordic forestry groups
1,purchase agreement for tons of gasoline with delivery at the Hamina terminal Finland was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month
1,Finnish Talentum reports its operating profit increased to EUR in NUMERIC from EUR in and net sales totaled EUR up from EUR 
1,Clothing retail chain Sepp is sales increased by to EUR and operating profit rose to EUR from EUR in
1,Consolidated net sales increased to reach EUR while operating profit amounted to EUR compared to a loss of EUR in the prior year period
1,Foundries division reports its sales increased by to EUR from EUR in the corresponding period in and sales of the Machine Shop division increased by to EUR from EUR in the corresponding period in
1,HELSINKI Shares closed higher led by Nokia after it announced plans to team up with Sanyo to manufacture handsets and by Nokian Tyres after its fourthquarter earnings report beat analysts expectations dealers said
1,Incap Contract Manufacturing Services Pvt Ltd a subsidiary of Incap Corporation of Finland plans to double its revenues by
1,Its board of directors will propose a dividend of EUR NUMERIC per share for up from the EUR NUMERIC per share paid in
1,Lifetree was founded in and its revenues have risen on an average by with margins in late
1,trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum Days of the Russian Economy that opened in Helsinki today
1,MegaFon is subscriber base increased in NUMERIC to million users as of December while its market share by the number of customers amounted to as of late up from as of late according to TeliaSonera estimates
1,Net income from life insurance doubled to EUR from EUR and net income from nonlife insurance rose to EUR from EUR in the corresponding period in
1,Net sales increased to EUR from EUR and pretax profit rose by to EUR NUMERIC
1,Net sales surged by to EUR NUMERIC Teleste said that EUR or of the sales came from the acquisitions made in
1,Nordea Group is operating profit increased in NUMERIC by NUMERIC percent yearonyear to billion euros and total revenue by NUMERIC percent to billion euros
1,Operating profit for the ninemonth period increased from EUR while net sales increased from EUR as compared to the corresponding period in
1,Operating profit for the ninemonth period increased from EUR and net sales increased from EUR as compared to the corresponding period in
1,Operating profit for the threemonth period increased from EUR while revenue increased from EUR as compared to the corresponding period in
1,The Brazilian unit of Finnish security solutions provider FSecure signed up new clients last year online news source Reseller Web quoted the division is commercial director Vladimir Brando as saying
1,The company is net profit rose on the year to million euros in NUMERIC on sales of million euros up on the year the company said earlier
1,The Lithuanian beer market made up million liters in January a rise of percent from the yearearlier figure the Lithuanian Brewers Association reporting citing the results from its members
1,Viking Line is cargo revenue increased by to EUR and cargo volume increased by to cargo units
1,The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR million
1,NUMERIC February NUMERIC Finnish media company Sanoma Oyj HEL SAAV said yesterday its NUMERIC net profit almost tripled to EUR from EUR for NUMERIC and announced a proposal for a raised payout
1,Helsinki ELIiV today reported EPS of EUR NUMERIC for an increase over EPS of EUR NUMERIC in
1,Aspo Plc STOCK EXCHANGE RELEASE February NUMERIC at NUMERIC am ESL Shipping Ltd part of Aspo Group has signed a new longterm contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea
1,Commission income increased by to EUR and lending volume rose by
1,In January traffic measured in revenue passenger kilometres RPK went up by and capacity measured in available seat kilometres ASK rose by
1,In JanuarySeptember Fiskars net profit went up by yearonyear to EUR million and net sales to EUR million from EUR million
1,Net income from life insurance rose to EUR from EUR and net income from nonlife insurance to EUR from EUR in
1,Nyrstar has also agreed to supply to Talvivaara up to tonnes of sulphuric acid per annum for use in Talvivaara is leaching process during the period of supply of the zinc in concentrate
1,Sales for both the Department Store Division and Hobby Hall increased by while sales for the clothing store subsidiary Seppala decreased by
1,Sales have risen in other export markets
1,Sales increased due to growing market rates and increased operations
1,The agreement strengthens our longterm partnership with Nokia Siemens Networks
1,The agreement was signed with Biohit Healthcare Ltd the UKbased subsidiary of Biohit Oyj a Finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems
1,The company also estimates the already carried out investments to lead to an increase in its net sales for NUMERIC from NUMERIC when they reached EUR million
1,The company is order book stood at bln euro bln on September up by pct on the year with international orders amounting to NUMERIC mln euro mln
1,The company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by NUMERIC percent compared with last year
1,The world is second largest stainless steel maker said net profit in the threemonth period until Dec NUMERIC surged to euro million US NUMERIC million or euro NUMERIC US per share from euro million or euro NUMERIC per share the previous year
1,Within the framework of the partnership Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary JSC Mikron which is the largest manufacturer and exporter of microelectronic components in Russia
1,Seppala is revenue increased by to EUR NUMERIC In Finland revenue went down by to EUR while sales abroad rose by to EUR NUMERIC Sales increased in all the Baltic countries as well as in Russia and Ukraine
1,Shares of Standard Chartered rose in the FTSE while Royal Bank of Scotland shares rose and Barclays shares were up
1,Shares of Nokia Corp rose Thursday after the cell phone maker said its thirdquarter earnings almost doubled and its share of the global handset market increased
1,In its financial report published on Friday SEB said its net profit soared to SEK NUMERIC bn in NUMERIC from a yearearlier SEK NUMERIC bn and proposed a dividend increase to SEK NUMERIC per share
1,Sales for the Department Store Division increased by and sales for the clothing store subsidiary Seppala increased by Meanwhile sales for Hobby Hall decreased by
1,At first the contract envisaged the construction of three ferryboats with an option for two more units further confirmed at a total value of NUMERIC mln euro
1,KESKO CORPORATION STOCK EXCHANGE RELEASE AT NUMERIC Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of KaukoTelko Ltd a subsidiary wholly owned by Kesko
1,Sponda Plc Stock Exchange Release NUMERIC December NUMERIC at EUR BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a oneyear syndicated credit facility for a total of EUR billion
1,The contract covers HDO platform AC and CXE optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks
1,The OMX Helsinki NUMERIC index was up pct at and the Helsinki CAP portfolio index was pct higher at
1,Rinkuskiai raised the sales by percent to million liters while the sales of Kauno Alus grew by percent to liters
1,TELECOMWORLDWIRE April TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday NUMERIC April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj
1,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe
1,The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean Africa and North America says Uwe Bakosch
1,The company still expects its turnover in NUMERIC to slightly increase from the level of adding that market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year
1,The acquisition will considerably increase Kemira is sales and market position in the Russian metal industry coatings market
1,In JanuarySeptember Finnlines net sales rose to EUR from EUR in the corresponding period in
1,Adjusted for changes in the Group structure the Division is net sales increased by
1,The change will optimize the operational efficiencies of our growing business said Julia Prohaska director of marketing communications for Fiskars
1,They would invest not only in the physical infrastructure but would also provide knowhow for managing and developing science and technology parks said Sunrise Valley director Andrius Bagdonas
1,NUMERIC February NUMERIC Finnish broadband data communication systems provider Teleste Oyj HEL TLTV saw its net profit jump to EUR for the last quarter of NUMERIC from EUR for the same period of
1,Finnish Aktia Group is operating profit rose to EUR in the first quarter of NUMERIC from EUR in the first quarter of
1,Finnish Bank of land is consolidated net operating profit increased from EUR in the first quarter of NUMERIC to EUR in the first quarter of
1,Finnish financial group Aktia reports operating profit of EUR in JanuarySeptember up from EUR in the corresponding period in
1,Finnish high technology provider Vaahto Group reports net sales of EUR in the accounting period September NUMERIC February an increase of from a year earlier
1,Net sales of Finnish food industry company Tehtaat is continuing operations increased by in NUMERIC to EUR from EUR in
1,An individual promotion also generated slightly higherthanexpected revenues
1,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement
1,Both operating profit and turnover for the threemonth period increased respectively from EUR and EUR as compared to the corresponding period in
1,Circulation revenue has increased by in Finland and in Sweden in
1,Clothing chain Sepp is net sales increased by to EUR 
1,Construction volumes meanwhile grow at a rate of percent annually
1,Finnish and Swedish construction markets are still experiencing an estimated annual growth in
1,However Biohit estimates its total net sales will continue to grow in and that favourable trends in net sales will lead to a profit in
1,In Fiskars cash flow from operating activities amounted to EURm up from EURm in the previous year
1,In Lithuania operating profit rose to EUR from EUR in the corresponding period in
1,In the fourth quarter of net sales increased by to EUR from EUR in the fourth quarter of
1,International sales rose by to EUR 
1,Net sales grew in the period to xac NUMERIC million US million from xac NUMERIC million in
1,Net sales increased to EURm in April to June NUMERIC from EURm a year earlier
