sentiment,raw text
Negative,"NEW YORK -- Yields on most certificates of deposit offered by major banks dropped more than a tenth of a percentage point in the latest week, reflecting the overall decline in short-term interest rates.</br></br>On small-denomination, or ""consumer,"" CDs sold directly by banks, the average yield on six-month deposits fell to 5.49% from 5.62% in the week ended yesterday, according to an 18-bank survey by Banxquote Money Markets, a Wilmington, Del., information service.</br></br>On three-month ""consumer"" deposits, the average yield sank to 5.29% from 5.42% the week before, according to Banxquote. Two banks in the Banxquote survey, Citibank in New York and CoreStates in Pennsylvania, are paying less than 5% on threemonth small-denomination CDs.</br></br>Declines were somewhat smaller on five-year consumer CDs, which eased to 7.37% from 7.45%, Banxquote said.</br></br>Yields on three-month and six-month Treasury bills sold at Monday's auction plummeted more than a fifth of a percentage point from the previous week, to 5.46% and 5.63%, respectively."
Negative,"Stocks declined, as investors weighed slower-than-expected domestic economic growth and continued euro-zone concerns against signs the Federal Reserve may take new steps to bolster the economy.</br></br>The Dow Jones Industrial Average fell 53.59 points, or 0.5%, to 11493.72, its lowest close since Oct. 17.</br></br>Weighing on the downside were Alcoa, which dropped 21 cents, or 2.2%, to $9.26, and Bank of America, which fell 12 cents, or 2.2%, to 5.37. Hewlett-Packard dropped 21 cents, or 0.8%, to 26.65, after the technology company issued a downbeat earnings outlook for the current quarter and the next fiscal year.</br></br>The S&P 500-stock index fell 4.94 points, or 0.4%, to 1188.04.</br></br>The Nasdaq Composite lost 1.86 points, or 0.1%, to 2521.28."
Negative,"NEW YORK -- The dollar sagged yesterday, as news of a widely anticipated 0.50-percentage point rate increase by the Federal Reserve provided an excuse to take profits on Tuesday's powerful dollar rally.</br></br>The dollar also was depressed by the sell-off in U.S. Treasurys that followed the Fed's action, with bond-market participants concerned that U.S. economic growth will remain buoyant and thus prompt further Fed rate boosts.</br></br>The Federal Reserve decided at its policy-setting meeting yesterday to lift to 6% its Fed funds rate, or the rate banks charge each other for overnight loans. The Fed also raised to 5.25% the discount rate, or the rate at which it sells money to banks.</br></br>Explaining its decision, the Fed said that ""despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace.""</br></br>Traders, who had amassed dollars on Tuesday with the announcement of President Clinton's new aid package for Mexico, abruptly dumped them when the Fed made its announcement. The dollar fell quickly to intraday lows of 1.5150 marks and 98.85 yen within minutes of the Fed's statement; it recovered a little later in the session."
Positive,"The technology industry, an engine of innovation and U.S. prosperity for more than half a century, is accelerating its recovery from the recession with surging earnings that have spurred companies to sharply ramp up their hiring.</br></br>The latest evidence for the rebound came Thursday, when Internet giant Google Inc. posted a 37% profit jump for the first quarter and chip maker Advanced Micro Devices Inc. reported a 34% revenue increase to record levels. The results follow the strong showing of bellwether Intel Corp., which Tuesday announced quarterly profit that nearly quadrupled on a 44% jump in sales.</br></br>The trio of results kicks off what is likely to be a strong earnings streak as tech spending by companies and consumers picks up. Next week, Apple Inc., Amazon.com Inc. and Microsoft Corp., among others, are slated to report quarterly results. Tech-research firm ISI Group projects that overall revenues from such companies will rise more than 10% for the first quarter, compared with a 16% decline a year earlier. Meanwhile, Standard & Poor's forecasts a 79% increase in tech earnings for the quarter from year-ago levels.</br></br>The growth has reached a level where tech companies are pushing to hire again, in some cases engaging in heated competition for talent. That's a turnabout for the industry, which had a series of layoffs last year, when some tech giants, notably Microsoft Corp., had mass layoffs for the first time.</br></br>The hiring ramp-up began late last year, with demand for tech goods and services stabilizing after months of declines. At the time, Google Chief Executive Eric Schmidt said the Mountain View, Calif., company was ready to spend again, including on new recruits. On Thursday, Google said it hired 786 new employees in the first quarter and was just getting started."
Negative,"WASHINGTON--The breakdown in deficit-reduction talks between the White House and Speaker of the House John Boehner (R., Ohio) could immediately increase the risk that Standard & Poor's takes the unprecedented step of lowering its top-notch rating of U.S. government debt.</br></br>The credit-rating firm has warned repeatedly that it could move to downgrade U.S. debt if it believes any deficit-reduction deal isn't robust enough to change the country's trajectory of future debt growth. A downgrade could come even if officials agree to raise the federal debt ceiling by Aug. 2. Treasury Department officials have set that as the deadline because after that date, without more borrowing authority, the government could run out of cash to pay all its bills.</br></br>Messrs. Obama and Boehner had been trying to package a deal that would reduce future federal deficits by $4 trillion over 10 years, a level S&P officials had suggested would be sufficient to avoid a downgrade. A lower credit rating would raise borrowing costs not just for the government, but also for consumers and businesses, which could slow U.S. economic growth. It also could lower the value of Treasury securities held as assets by banks, pension funds, mutual funds, hedge funds, and other investors around the world, potentially shaking financial markets.</br></br>Now that the large-scale talks have broken down, policy makers will likely pursue a smaller-scale deal that falls short of S&P's targets. Mr. Obama alluded to this possibility Friday evening.</br></br>""If we can't come up with a serious plan for actual deficit and debt reduction, and all we're doing is extending the debt ceiling for another six, seven, eight months, then the probabilities of downgrading U.S. credit are increased, and that will be an additional cloud over the economy and make it more difficult for us and more difficult for businesses to create jobs that the American people so desperately need,"" Mr. Obama said Friday evening."
Negative,"U.S. wholesale prices sank further last month, a sign of how quickly the inflationary pressures of last summer have reversed.</br></br>Producer prices fell a seasonally adjusted 1.9% in December from the previous month, the Labor Department said, led by lower energy prices. It marks the fifth-straight monthly decline and a stunning reversal in just a few short months from the price pressures seen in mid-2008.</br></br>The lower prices bring some much-needed relief to hard-pressed businesses as the U.S. recession marches on -- but they also reflect weakness in global demand for goods. Manufacturing activity is down sharply in the world's biggest economies, including the U.S., Japan and Europe; it also has slowed in markets like China that once had enormous demand for raw materials. U.S. producer prices in December were down 0.9% from the previous year, the biggest yearly drop since 2001.</br></br>Energy prices fell 9.3% last month from November, as wholesale gasoline prices tumbled 25.7%. Food prices declined 1.5%. The declines are expected to be passed on to consumers, as businesses work to attract customers through heavy discounting. The Labor Department will release its December consumer prices on Friday.</br></br>Excluding food and energy, core producer prices held up last month, rising 0.2% from November and 4.3% from the previous year -- the largest annual gain in two decades. But core prices are expected to decline in the months ahead, which, combined with falling wages, is stoking concerns about a looming downward spiral of lower prices and spending known as deflation."
Negative,"[Today's Market Forecast]</br></br>Mortal Coil</br></br>The good news about last year's flat stock market? Stocks got cheaper. The bad news? They could get cheaper still.</br></br>In 2005, the Dow Jones Industrial Average had one of the most uninspiring annual performances of its 109-year history, finishing the year down 0.6% -- which is to say almost perfectly flat. The broader market did a bit better, but with the Standard & Poor's 500-stock index gaining 3%, it, too, drew yawns rather than applause.</br></br>But even as the market treaded water, corporate profits grew quickly. Company analysts polled by Reuters Estimates predict that earnings for companies in the S&P 500 increased 13.6% in 2005. Because the S&P 500 went up less than its earnings, it's price/earnings ratio slipped. On Friday, the S&P 500 closed at 16.4 times 2005 earnings. It finished 2004 at 18 times that year's earnings. In fact, it's the lowest S&P 500 P/E ratio in 10 years."
Positive,"ST. PETERSBURG, Fla. -- Use of stock-options contracts to hedge stock portfolios and speculate in the market is surging, pushing options trading to levels not seen since the 1987 stock-market crash.</br></br>Investor wariness as the Dow Jones Industrial Average continues to set records has helped bring new life to this previously moribund sector of the U.S. financial markets, as has the protracted takeover battle for Paramount Communications Inc.</br></br>""This long, drawn-out tender offer has proven to be very profitable for the options business,"" said Michael Schwartz, senior vice president at Oppenheimer & Co. ""But there also has been a steady turnaround in the business, with an influx of new users and a change of direction from index options to equity options.""</br></br>Many participants attending the Chicago Board Options Exchange convention here this weekend are wondering how long the nation's four major options exchanges can maintain their momentum.</br></br>Before last month, when these markets posted their highest daily and monthly volume totals in more than five years, the consensus in the U.S. options industry was that it had never really recovered from the crash. Thousands of overly aggressive investors, who used options contracts in risky, leveraged trading strategies, had been devastated in the 1987 cataclysm. And options trading fell sharply in the years that followed."
Negative,"Continued concerns about the strength of the U.S. economy got the better of stocks yesterday, as sharp increases in Cisco Systems and Charles River Laboratories International were more than offset by Hospira's plunge and home builder Toll Brothers delivering an affirmation that conditions are cooling.</br></br>The Dow Jones Industrial Average lost 97.41, or 0.87%, to 11076.18. The Nasdaq Composite Index eased 0.57, or 0.03%, to 2060.28, with its loss mitigated by Cisco's influence on the tech group. The Standard & Poor's 500 Index shed 5.53, or 0.43%, to 1265.95. This was the fourth loss in a row for the three averages.</br></br>""We started off in pretty good shape but couldn't hang on as concerns about the economy hobbled us,"" said Alan Skrainka, chief market strategist with Edward Jones. ""It's clear that 17 rate hikes are taking a bite out of industry sectors.""</br></br>Still, Cisco Systems (Nasdaq) jumped $2.49, or 14%, to $19.78, boosting its market value by more than $15 billion in its biggest percentage advance in more than four years. The maker of routers, switches and other apparatus that connect computers to the Internet late Tuesday reported strong fourth-quarter results, buoyed by solid orders. It projected revenue would increase 15% to 20% for fiscal 2007.</br></br>The robust report lifted Cisco's rivals, as well. Juniper Networks (Nasdaq) rose 49 cents, or 3.8%, to 13.41, Alcatel's American depositary receipts gained 22 cents, or 2%, to 11.12, and Lucent Technologies, set to merge with Alcatel, advanced six cents, or 2.9%, to 2.11."
Positive,"WASHINGTON -- The robust economy has postponed the day of reckoning for Social Security's solvency by three years, until 2032, according to new estimates from the program's trustees.</br></br>And, at least in the near term, last year's balanced-budget law has greatly improved the outlook for Medicare, the federal health program for 38 million elderly and disabled people. It should stay solvent until 2008, seven years longer than the trustees projected last April, largely because the balanced-budget law lowers Medicare spending by $115 billion in the next five years.</br></br>The Social Security trust fund, which pays retirement and other benefits to 44 million Americans each month, had been expected to go broke in 2029 as Americans live longer and the baby boom retires. But the ""strength in the U.S. economy"" has almost single-handedly bought the system another three years, said Treasury Secretary Robert Rubin, a trustee. The six trustees -- two private citizens and four government officials -- oversee the financial operations of the Social Security and Medicare trust funds and report on them to Congress each year. The trustees expect lower inflation and unemployment rates, higher productivity and inflation-adjusted wage gains and a smaller decline in average hours worked in the next 10 years than they had projected in last year's report. The rosier outlook reflects both the economy's recent superlative performance and expectations about the near future. With more Americans working, payroll taxes paid to support Social Security are expected to rise more than previously thought. And with lower price inflation, yearly cost-of-living raises to retirees will likely be smaller.</br></br>As a result, the size of Social Security's projected 75-year deficit declined slightly to 2.19% of taxable payroll from the 2.23% projected last year. And the balanced-budget agreement halved Medicare's projected 75-year deficit to about 2% of taxable payroll.</br></br>The trustees' updated projections still are more conservative than the most optimistic observers: They expect the U.S. economy to grow about 2% a year on average in the next decade, about fourtenths of a percentage point slower than in the past decade."
